title,artist,youtube_url,video_id,status,stems,has_chords,has_gp,processing_seconds
The Wind Cries Mary,Jimi Hendrix,https://www.youtube.com/watch?v=Z7K5VCCdOEM,Z7K5VCCdOEM,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/40532f0a-04e4-4e4b-acfc-d41161a6d3f6/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/40532f0a-04e4-4e4b-acfc-d41161a6d3f6/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/40532f0a-04e4-4e4b-acfc-d41161a6d3f6/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/40532f0a-04e4-4e4b-acfc-d41161a6d3f6/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/40532f0a-04e4-4e4b-acfc-d41161a6d3f6/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/40532f0a-04e4-4e4b-acfc-d41161a6d3f6/stems/vocals.mp3'}",False,False,264.0
Bold as Love,Jimi Hendrix,https://www.youtube.com/watch?v=ZYxfOxjswxc,ZYxfOxjswxc,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/0480df5a-c829-4821-9ff4-231f18b4bad9/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/0480df5a-c829-4821-9ff4-231f18b4bad9/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/0480df5a-c829-4821-9ff4-231f18b4bad9/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/0480df5a-c829-4821-9ff4-231f18b4bad9/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/0480df5a-c829-4821-9ff4-231f18b4bad9/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/0480df5a-c829-4821-9ff4-231f18b4bad9/stems/vocals.mp3'}",False,False,460.6
Castles Made of Sand,Jimi Hendrix,https://www.youtube.com/watch?v=ksZTYRqr444,ksZTYRqr444,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/2fa2d833-95cb-4efa-a385-6f863835810c/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/2fa2d833-95cb-4efa-a385-6f863835810c/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/2fa2d833-95cb-4efa-a385-6f863835810c/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/2fa2d833-95cb-4efa-a385-6f863835810c/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/2fa2d833-95cb-4efa-a385-6f863835810c/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/2fa2d833-95cb-4efa-a385-6f863835810c/stems/vocals.mp3'}",False,False,336.6
Stairway to Heaven,Led Zeppelin,https://www.youtube.com/watch?v=QkF3oxziUI4,QkF3oxziUI4,timeout,0,False,False,601.0
Whole Lotta Love,Led Zeppelin,https://www.youtube.com/watch?v=HibBnC6SVk8,HibBnC6SVk8,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/1d83cc0c-c0b0-47b7-8bec-3c46e0f26c24/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/1d83cc0c-c0b0-47b7-8bec-3c46e0f26c24/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/1d83cc0c-c0b0-47b7-8bec-3c46e0f26c24/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/1d83cc0c-c0b0-47b7-8bec-3c46e0f26c24/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/1d83cc0c-c0b0-47b7-8bec-3c46e0f26c24/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/1d83cc0c-c0b0-47b7-8bec-3c46e0f26c24/stems/vocals.mp3'}",False,False,536.8
Black Dog,Led Zeppelin,https://www.youtube.com/watch?v=2KPEHohJMuw,2KPEHohJMuw,timeout,0,False,False,863.1
Purple Haze,Jimi Hendrix,https://www.youtube.com/watch?v=WGoDaYjdfSg,WGoDaYjdfSg,cached,,,,
Hey Joe,Jimi Hendrix,https://www.youtube.com/watch?v=rXwMrBb2x1Q,rXwMrBb2x1Q,cached,,,,
All Along the Watchtower,Jimi Hendrix,https://www.youtube.com/watch?v=TLV4_xaYynY,TLV4_xaYynY,cached,,,,
Little Wing,Jimi Hendrix,https://www.youtube.com/watch?v=35luFxHO5E0,35luFxHO5E0,cached,,,,
Voodoo Child (Slight Return),Jimi Hendrix,https://www.youtube.com/watch?v=L7UMubmfbH0,L7UMubmfbH0,cached,,,,
The Wind Cries Mary,Jimi Hendrix,https://www.youtube.com/watch?v=Z7K5VCCdOEM,Z7K5VCCdOEM,cached,,,,
Bold as Love,Jimi Hendrix,https://www.youtube.com/watch?v=ZYxfOxjswxc,ZYxfOxjswxc,cached,,,,
Castles Made of Sand,Jimi Hendrix,https://www.youtube.com/watch?v=ksZTYRqr444,ksZTYRqr444,cached,,,,
Stairway to Heaven,Led Zeppelin,https://www.youtube.com/watch?v=QkF3oxziUI4,QkF3oxziUI4,cached,,,,
Whole Lotta Love,Led Zeppelin,https://www.youtube.com/watch?v=HibBnC6SVk8,HibBnC6SVk8,cached,,,,
Black Dog,Led Zeppelin,https://www.youtube.com/watch?v=2KPEHohJMuw,2KPEHohJMuw,cached,,,,
Kashmir,Led Zeppelin,https://www.youtube.com/watch?v=ww9484EM2OQ,ww9484EM2OQ,cached,,,,
